SR	Adaptive	Uniform	Random
0.05	757.34197	524.93865	979.89938
0.10	500.12371	3045.79141	1538.87022
0.15	769.77632	672.13133	990.92334
0.20	1043.21791	534.77888	1019.87709
0.25	901.84493	616.17903	693.24297
0.30	732.23802	1094.20364	1103.14970
0.35	679.51914	574.53481	626.02331
0.40	488.62541	637.25676	1002.95977
0.45	642.70876	474.09493	559.75662
0.50	553.65450	510.19020	530.70038
