"nodes"	""	""	"4 cores"
2	4	100	119.28
3	4	100	122.78
4	4	100	95.74
5	4	100	89.56
6	4	100	85.54
7	4	100	128.65
8	4	100	215.97
9	4	100	105.85 
10	4	100	85.82
