"nodes"	""	""	"1 cores"
2	1	100	282.36
3	1	100	225.01
4	1	100	212.20
5	1	100	201.48
6	1	100	192.67
7	1	100	161.05
8	1	100	150.08
9	1	100	197.02 
10	1	100	155.86
