"nodes"	""	""	"2 cores"
2	2	100	177.46
3	2	100	126.74
4	2	100	122.14
5	2	100	134.81
6	2	100	114.38
7	2	100	104.15
8	2	100	108.01
9	2	100	120.74
10	2	100	102.20
