# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Fri Aug 01 16:25:35 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			24355.44993	156.06233	113.98823	-0.34580
LinearRegression			20508.60857	143.20827	82.31799	-0.13324
MLPerceptron			25338.95572	159.18215	98.21154	-0.40015
LeastSquares			21199.66110	145.60103	81.35862	-0.17142
RBF			20433.69804	142.94649	97.77216	-0.12910
IsoRegression			21803.20027	147.65907	89.63842	-0.20477
BagClassify			18553.43845	136.21101	82.56858	-0.02520
RandomSubSpaces			17936.52451	133.92731	86.88173	0.00889
GaussianCurves			18298.99874	135.27379	78.74387	-0.01114
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Fri Aug 01 16:25:36 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			57340.74379	239.45927	154.95825	-2.16846
LinearRegression			34235.19405	185.02755	145.62239	-0.89173
MLPerceptron			69765.04599	264.13074	143.10073	-2.85499
LeastSquares			31153.01961	176.50218	134.82522	-0.72142
RBF			26738.40668	163.51883	129.31234	-0.47748
IsoRegression			40620.84479	201.54614	157.86922	-1.24458
BagClassify			23573.60911	153.53700	130.33790	-0.30260
RandomSubSpaces			20221.13151	142.20102	115.63256	-0.11735
GaussianCurves			23365.38244	152.85739	115.10066	-0.29110
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Fri Aug 01 16:25:36 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			17769.54163	133.30244	90.62475	0.01811
LinearRegression			19714.29473	140.40760	80.30819	-0.08935
MLPerceptron			19943.97121	141.22313	96.46616	-0.10204
LeastSquares			27178.56046	164.85921	108.54485	-0.50180
RBF			18409.09003	135.68010	100.63785	-0.01723
IsoRegression			17887.36010	133.74364	85.40399	0.01160
BagClassify			17482.22463	132.22036	90.85933	0.03399
RandomSubSpaces			17492.77078	132.26024	92.76648	0.03341
GaussianCurves			17399.55689	131.90738	86.55114	0.03856
