# Created: Thu Jul 31 11:24:23 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.25
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.25.csv
#	metrics-output:	results/terasort/metrics-0.25.csv
#
# Points picked
# 	(1.0, 10.0, 8.0)
# 	(2.0, 10.0, 8.0)
# 	(4.0, 10.0, 8.0)
# 	(1.0, 10.0, 5.0)
# 	(4.0, 10.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 40.0, 2.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 40.0, 9.0)
# 	(1.0, 30.0, 7.0)
# 	(2.0, 20.0, 2.0)
# 	(2.0, 40.0, 9.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 30.0, 10.0)
# 	(4.0, 20.0, 7.0)
# 	(4.0, 30.0, 3.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 40.0, 3.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 10.0, 10.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 10.0, 4.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 20.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(2.0, 30.0, 4.0)
# 	(4.0, 30.0, 4.0)
# 	(4.0, 30.0, 6.0)
# 	(4.0, 20.0, 10.0)
# 	(2.0, 50.0, 5.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
2.0	30.0	4.0	147.8300	204.3224	136.3641	165.3313	144.8949	142.2228	156.7731	202.0568	157.1000	164.5113	
2.0	40.0	4.0	182.4400	246.8138	170.7978	169.5776	165.9839	143.7041	174.2519	202.0568	157.1000	164.5113	
2.0	50.0	4.0	226.1300	273.5943	233.4285	173.2974	165.9839	143.7041	191.7308	202.0568	157.1000	164.5113	
4.0	10.0	4.0	54.7500	100.4964	72.1247	109.6566	138.7545	141.2623	85.2260	202.0568	157.1000	109.6399	
4.0	20.0	4.0	75.8700	113.2950	81.4784	109.6559	143.1951	141.2623	102.7048	202.0568	157.1000	109.6399	
4.0	30.0	4.0	99.5400	134.2917	93.2384	109.6560	143.1951	142.2228	120.1837	202.0568	157.1000	109.6399	
4.0	40.0	4.0	135.6200	157.1098	110.5285	109.6567	164.2841	143.7041	137.6626	202.0568	157.1000	109.6399	
4.0	50.0	4.0	147.7500	174.7059	139.5130	109.6610	164.2841	143.7041	155.1415	202.0568	157.1000	109.6399	
1.0	10.0	5.0	168.1100	142.5896	107.6191	173.5069	177.0817	165.7019	129.8953	177.6998	157.1000	164.5113	
1.0	20.0	5.0	264.1000	179.9537	117.5645	172.4606	177.0817	165.7019	147.3741	177.6998	157.1000	164.5113	
1.0	30.0	5.0	199.1300	225.7638	133.4804	172.5237	193.0331	166.6625	164.8530	177.6998	157.1000	164.5113	
1.0	40.0	5.0	256.9800	267.2244	161.8963	173.6101	210.4965	168.1438	182.3319	177.6998	157.1000	164.5113	
1.0	50.0	5.0	306.4200	291.5974	214.2069	174.4684	210.4965	168.1438	199.8107	177.6998	157.1000	164.5113	
2.0	10.0	5.0	72.5300	109.1111	93.2232	169.6880	140.4543	150.2050	111.6006	177.6998	157.1000	164.5113	
2.0	20.0	5.0	101.6800	139.0471	101.9448	165.9613	144.8949	150.2050	129.0795	177.6998	157.1000	164.5113	
2.0	30.0	5.0	128.9900	179.6106	114.0540	166.1762	144.8949	151.1656	146.5583	177.6998	157.1000	164.5113	
2.0	40.0	5.0	158.8800	219.2176	133.6924	170.0754	165.9839	152.6469	164.0372	177.6998	157.1000	164.5113	
2.0	50.0	5.0	191.0900	245.7892	168.7420	173.4480	165.9839	152.6469	181.5161	177.6998	157.1000	164.5113	
4.0	10.0	5.0	51.2800	93.1523	58.0296	109.6568	138.7545	150.2050	75.0113	177.6998	157.1000	109.6399	
4.0	20.0	5.0	71.6400	103.2604	66.7959	109.6560	143.1951	150.2050	92.4901	177.6998	157.1000	109.6399	
4.0	30.0	5.0	101.8800	121.7535	76.5099	109.6560	143.1951	151.1656	109.9690	177.6998	157.1000	109.6399	
4.0	40.0	5.0	100.7400	142.9299	88.6769	109.6569	164.2841	152.6469	127.4479	177.6998	157.1000	109.6399	
4.0	50.0	5.0	124.5700	160.3116	106.4452	109.6617	164.2841	152.6469	144.9267	177.6998	157.1000	109.6399	
1.0	10.0	6.0	90.7600	126.8295	96.5957	173.6056	156.2991	147.6207	119.6805	153.3428	157.1000	164.5113	
1.0	20.0	6.0	134.4400	158.1887	104.2865	172.6370	156.2991	153.2677	137.1594	153.3428	157.1000	164.5113	
1.0	30.0	6.0	174.1600	198.3628	114.6181	172.6955	172.2505	154.2283	154.6383	153.3428	157.1000	164.5113	
1.0	40.0	6.0	247.1600	236.0501	130.9713	173.7010	189.7139	161.0763	172.1171	153.3428	157.1000	164.5113	
1.0	50.0	6.0	296.7600	259.7736	159.9345	174.4935	189.7139	161.0763	189.5960	153.3428	157.1000	164.5113	
2.0	10.0	6.0	67.8700	95.0041	81.2698	170.0584	141.4550	132.1238	101.3859	153.3428	157.1000	164.5113	
2.0	20.0	6.0	88.4400	119.3598	89.0132	166.5650	145.8956	137.7708	118.8647	153.3428	157.1000	164.5113	
2.0	30.0	6.0	113.0500	154.6130	98.1240	166.7674	145.8956	138.7314	136.3436	153.3428	157.1000	164.5113	
2.0	40.0	6.0	205.1200	190.5963	110.6566	170.4197	166.9845	145.5794	153.8225	153.3428	157.1000	164.5113	
2.0	50.0	6.0	169.2200	216.4443	130.7901	173.5511	166.9845	145.5794	171.3013	153.3428	157.1000	164.5113	
4.0	10.0	6.0	93.8700	86.9852	43.4140	109.6569	141.4550	132.1238	64.7965	153.3428	157.1000	109.6399	
4.0	20.0	6.0	206.5600	94.2221	52.1705	109.6561	145.8956	132.2705	82.2754	153.3428	157.1000	109.6399	
4.0	30.0	6.0	220.8300	109.8774	61.2355	109.6561	145.8956	133.2311	99.7543	153.3428	157.1000	109.6399	
4.0	40.0	6.0	221.3000	129.0313	71.2938	109.6571	166.9845	140.0791	117.2331	153.3428	157.1000	109.6399	
4.0	50.0	6.0	173.5000	145.8856	83.8584	109.6622	166.9845	140.0791	134.7120	153.3428	157.1000	109.6399	
1.0	10.0	7.0	80.2900	112.5341	85.5743	173.6672	139.8571	111.4817	109.4658	128.9858	100.6925	119.5684	
1.0	20.0	7.0	122.0600	137.6755	92.6394	172.7474	143.8234	122.5063	126.9447	128.9858	100.6925	119.5684	
1.0	30.0	7.0	152.8100	171.8094	100.7060	172.8030	159.7748	128.0839	144.4236	128.9858	100.6925	119.5684	
