# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Thu Jul 31 11:24:27 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			10309.15694	101.53402	59.64909
MLPerceptron			9442.38091	97.17191	64.96060
RBF			17456.63134	132.12355	94.95919
RandomSubSpaces			14470.04122	120.29148	81.00605
BagClassify			13373.04210	115.64187	74.98449
LeastSquares			12627.67084	112.37291	62.76710
LinearRegression			14768.04613	121.52385	79.30088
IsoRegression			14952.64629	122.28101	81.03386
Discretization			12040.23876	109.72802	63.23033
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Thu Jul 31 11:24:28 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			9973.76351	99.86873	67.04340
MLPerceptron			16469.04678	128.33178	90.51582
RBF			20511.27817	143.21759	117.40387
RandomSubSpaces			13167.91575	114.75154	87.30586
BagClassify			12371.95202	111.22928	82.00910
LeastSquares			13172.13918	114.76994	67.85600
LinearRegression			14754.38706	121.46764	80.59378
IsoRegression			15770.73911	125.58160	83.08816
Discretization			13756.45635	117.28792	85.05537
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Thu Jul 31 11:24:28 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			14873.52068	121.95704	76.26320
MLPerceptron			17765.72669	133.28813	94.83051
RBF			18544.44792	136.17800	92.58482
RandomSubSpaces			16176.87838	127.18836	81.80711
BagClassify			15586.34668	124.84529	81.21289
LeastSquares			13408.59818	115.79550	65.82599
LinearRegression			15356.08971	123.91969	82.08331
IsoRegression			15671.37591	125.18537	81.84205
Discretization			13919.61311	117.98141	72.83507
