# Created: Thu Jul 31 11:24:37 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.45
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.45.csv
#	metrics-output:	results/terasort/metrics-0.45.csv
#
# Points picked
# 	(2.0, 40.0, 7.0)
# 	(4.0, 20.0, 3.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 40.0, 6.0)
# 	(1.0, 40.0, 2.0)
# 	(4.0, 20.0, 7.0)
# 	(4.0, 20.0, 4.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 10.0, 9.0)
# 	(2.0, 10.0, 2.0)
# 	(2.0, 30.0, 5.0)
# 	(1.0, 40.0, 6.0)
# 	(2.0, 30.0, 7.0)
# 	(2.0, 10.0, 4.0)
# 	(1.0, 30.0, 4.0)
# 	(1.0, 10.0, 5.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 40.0, 10.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 30.0, 3.0)
# 	(1.0, 10.0, 10.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 20.0, 6.0)
# 	(4.0, 30.0, 7.0)
# 	(1.0, 40.0, 8.0)
# 	(2.0, 10.0, 3.0)
# 	(2.0, 50.0, 5.0)
# 	(1.0, 20.0, 3.0)
# 	(4.0, 40.0, 2.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 40.0, 3.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 10.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 20.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 30.0, 2.0)
# 	(4.0, 40.0, 6.0)
# 	(2.0, 10.0, 6.0)
# 	(2.0, 50.0, 2.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 20.0, 2.0)
# 	(2.0, 30.0, 9.0)
# 	(2.0, 20.0, 5.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 10.0, 4.0)
# 	(1.0, 10.0, 7.0)
# 	(4.0, 20.0, 10.0)
# 	(2.0, 30.0, 10.0)
# 	(1.0, 30.0, 9.0)
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 8.0)
# 	(1.0, 10.0, 6.0)
# 	(1.0, 20.0, 10.0)
# 	(1.0, 40.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
4.0	50.0	3.0	182.7200	198.7117	149.4774	144.0606	240.1756	312.9573	199.1633	290.4517	288.0200	146.6072	
1.0	10.0	4.0	105.3100	148.8039	114.5742	207.4777	134.4532	129.7740	132.6947	87.3459	92.4217	272.5213	
1.0	20.0	4.0	172.0700	216.1478	194.5060	207.2376	153.6461	141.5186	167.4906	138.1223	122.6375	272.5213	
1.0	30.0	4.0	234.2300	296.7783	326.7681	206.9935	207.8176	176.0019	202.2866	188.8988	201.1854	272.5213	
1.0	40.0	4.0	308.7800	366.6411	481.8659	206.8159	271.4775	198.9431	237.0826	239.6752	239.1627	439.9600	
1.0	50.0	4.0	374.3800	404.7910	559.9705	206.7656	309.7455	394.6468	271.8785	290.4517	288.0200	470.7275	
2.0	10.0	4.0	72.5000	105.4704	82.1050	205.5771	113.3035	85.4596	104.7552	87.3459	92.4217	119.6464	
2.0	20.0	4.0	109.4900	160.1928	131.0806	204.3234	135.4368	98.3905	139.5512	138.1223	122.6375	119.6464	
2.0	30.0	4.0	147.8300	229.2161	154.2589	203.0911	159.8631	144.5430	174.3472	188.8988	201.1854	119.6464	
2.0	40.0	4.0	182.4400	291.2067	191.1476	202.2199	195.7486	188.5783	209.1431	239.6752	239.1627	212.0862	
2.0	50.0	4.0	226.1300	327.8880	292.6239	201.9770	195.7486	197.2557	243.9391	290.4517	288.0200	228.3566	
4.0	10.0	4.0	54.7500	86.5040	30.5893	144.0622	113.3035	89.5015	48.8763	87.3459	92.4217	119.6464	
4.0	20.0	4.0	75.8700	106.2583	108.8497	144.0613	135.4368	96.7647	83.6723	138.1223	122.6375	119.6464	
4.0	30.0	4.0	99.5400	136.1817	137.7894	144.0608	152.3765	141.8626	118.4683	188.8988	201.1854	119.6464	
4.0	40.0	4.0	135.6200	165.8574	146.5100	144.0607	196.9081	181.2436	153.2642	239.6752	239.1627	212.0862	
4.0	50.0	4.0	147.7500	186.7827	149.1405	144.0606	191.7921	189.7526	188.0602	290.4517	288.0200	146.6072	
1.0	10.0	5.0	168.1100	124.5697	101.1222	207.4882	134.4532	129.7740	121.5916	87.3459	92.4217	143.0192	
1.0	20.0	5.0	264.1000	184.3975	167.2648	207.2539	140.2130	141.5186	156.3876	138.1223	122.6375	143.0192	
1.0	30.0	5.0	199.1300	261.1433	266.5265	207.0157	194.3845	170.9810	191.1835	188.8988	201.1854	168.5187	
1.0	40.0	5.0	256.9800	332.3042	425.6411	206.8424	271.4775	193.9223	225.9795	239.6752	239.1627	439.9600	
1.0	50.0	5.0	306.4200	376.4472	538.2033	206.7933	309.7455	394.6468	260.7754	290.4517	288.0200	470.7275	
