# Created: Fri Aug 01 15:30:26 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.19
#	output:	results/terasort/values-0.19.csv
#	metrics-output:	results/terasort/metrics-0.19.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 50.0, 9.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
2.0	50.0	4.0	226.1300	224.1361	265.8854	192.1292	186.9400	203.9268	305.1480	219.3749	226.3897	187.3648	
4.0	10.0	4.0	54.7500	224.1361	99.1470	133.5019	186.9400	107.9391	139.7930	138.9854	59.7944	-10.1016	
4.0	20.0	4.0	75.8700	224.1361	109.2200	133.5019	186.9400	107.9391	139.7930	138.9854	83.4050	-0.5437	
4.0	30.0	4.0	99.5400	224.1361	130.1208	133.5019	186.9400	108.3195	139.7930	156.9851	107.0156	14.4027	
4.0	40.0	4.0	135.6200	224.1361	155.8047	158.4213	186.9400	201.2080	139.7930	181.8668	130.6261	37.4730	
4.0	50.0	4.0	147.7500	224.1361	178.8134	158.4213	186.9400	203.9294	139.7930	181.8668	154.2367	72.3862	
1.0	10.0	5.0	100.1100	204.1908	166.2103	188.1870	165.3243	107.9391	305.1480	169.9662	157.3605	30.3270	
1.0	20.0	5.0	150.1000	204.1908	196.5846	188.1870	165.3243	107.9391	305.1480	169.9662	180.9710	58.5841	
1.0	30.0	5.0	199.1300	204.1908	234.8167	188.1870	165.3243	108.1561	305.1480	186.3364	204.5816	97.3448	
1.0	40.0	5.0	256.9800	204.1908	270.3530	234.0983	165.3243	199.2407	305.1480	218.4143	228.1922	147.5747	
1.0	50.0	5.0	306.4200	204.1908	292.3648	234.0983	165.3243	203.9172	305.1480	218.4143	251.8028	208.8845	
2.0	10.0	5.0	72.5300	204.1908	130.5630	156.9646	165.3243	107.9391	305.1480	169.9662	121.2840	7.1723	
2.0	20.0	5.0	101.6800	204.1908	152.0255	156.9646	165.3243	107.9391	305.1480	169.9662	144.8946	25.3822	
2.0	30.0	5.0	128.9900	204.1908	183.2052	156.9646	165.3243	108.2816	305.1480	186.3364	168.5052	52.0447	
2.0	40.0	5.0	158.8800	204.1908	215.3313	192.1292	165.3243	200.9140	305.1480	200.5417	192.1157	89.5529	
2.0	50.0	5.0	191.0900	204.1908	238.8250	192.1292	165.3243	203.9276	305.1480	200.5417	215.7263	139.7371	
4.0	10.0	5.0	51.2800	204.1908	90.5443	133.5019	165.3243	107.9391	139.7930	138.1518	49.1311	-14.7893	
4.0	20.0	5.0	71.6400	204.1908	96.5368	133.5019	165.3243	107.9391	139.7930	138.1518	72.7416	-8.0062	
4.0	30.0	5.0	97.8800	204.1908	113.2393	133.5019	165.3243	108.3368	139.7930	138.1518	96.3522	2.5741	
4.0	40.0	5.0	100.7400	204.1908	135.7020	158.4213	165.3243	201.3244	139.7930	163.0335	119.9628	18.8528	
4.0	50.0	5.0	124.5700	204.1908	157.5223	158.4213	165.3243	203.9301	139.7930	163.0335	143.5734	43.3963	
1.0	10.0	6.0	90.7600	184.2455	154.1701	188.1870	165.3243	107.9391	167.4771	169.9662	146.6971	27.3102	
1.0	20.0	6.0	125.4400	184.2455	179.9504	188.1870	165.3243	107.9391	167.4771	169.9662	170.3077	53.3728	
1.0	30.0	6.0	174.1600	184.2455	213.7408	188.1870	165.3243	108.1472	167.4771	186.3364	193.9183	88.3121	
1.0	40.0	6.0	247.1600	184.2455	246.1368	234.0983	165.3243	199.0488	167.4771	218.4143	217.5289	132.0670	
1.0	50.0	6.0	296.7600	184.2455	267.3584	234.0983	165.3243	203.9160	167.4771	218.4143	241.1395	182.9016	
2.0	10.0	6.0	67.8700	184.2455	118.9052	156.9646	165.3243	107.9391	167.4771	169.9662	110.6207	4.6243	
2.0	20.0	6.0	88.4400	184.2455	135.4009	156.9646	165.3243	107.9391	167.4771	169.9662	134.2312	21.1742	
2.0	30.0	6.0	113.0500	184.2455	161.6157	156.9646	165.3243	108.2675	167.4771	186.3364	157.8418	45.0501	
2.0	40.0	6.0	145.1200	184.2455	190.0691	192.1292	165.3243	200.7879	167.4771	200.5417	181.4524	77.8964	
2.0	50.0	6.0	169.2200	184.2455	212.3956	192.1292	165.3243	203.9268	167.4771	200.5417	205.0630	120.4237	
4.0	10.0	6.0	50.8700	184.2455	83.9935	133.5019	165.3243	107.9391	139.7930	138.1518	38.4677	-16.5099	
4.0	20.0	6.0	75.5600	184.2455	86.1038	133.5019	165.3243	107.9391	139.7930	138.1518	62.0783	-10.7697	
4.0	30.0	6.0	95.8300	184.2455	98.6139	133.5019	165.3243	108.3204	139.7930	138.1518	85.6889	-1.8657	
4.0	40.0	6.0	101.3000	184.2455	117.6735	158.4213	165.3243	201.2149	139.7930	163.0335	109.2995	11.7202	
4.0	50.0	6.0	143.5000	184.2455	137.9822	158.4213	165.3243	203.9294	139.7930	163.0335	132.9101	31.9508	
1.0	10.0	7.0	80.2900	164.3002	143.5454	188.1870	165.3243	107.9391	167.4771	169.9662	136.0338	27.2343	
1.0	20.0	7.0	122.0600	164.3002	164.8922	188.1870	165.3243	107.9391	167.4771	169.9662	159.6444	52.7928	
1.0	30.0	7.0	152.8100	164.3002	194.2894	188.1870	165.3243	108.1221	167.4771	186.3364	183.2550	86.5216	
1.0	40.0	7.0	193.4800	164.3002	223.4747	234.0983	165.3243	198.4141	167.4771	218.4143	206.8655	127.7720	
