# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Thu Jul 31 11:24:37 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			9190.52425	95.86722	59.47865
MLPerceptron			10398.10835	101.97112	63.60491
RBF			17977.90211	134.08170	96.42218
RandomSubSpaces			10439.82171	102.17545	66.62839
BagClassify			9019.30969	94.97005	62.38138
LeastSquares			13597.36902	116.60776	62.95130
LinearRegression			14855.98269	121.88512	81.11033
IsoRegression			14986.33146	122.41867	81.16864
Discretization			13344.96942	115.52043	76.40747
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Thu Jul 31 11:24:39 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			9738.62953	98.68449	57.89753
MLPerceptron			13792.96682	117.44346	82.70168
RBF			18389.41890	135.60759	104.62054
RandomSubSpaces			13696.08591	117.03028	80.31771
BagClassify			12100.10325	110.00047	72.64653
LeastSquares			13323.82439	115.42887	64.90293
LinearRegression			15365.27342	123.95674	75.95090
IsoRegression			19359.95787	139.14007	106.90964
Discretization			13741.57024	117.22444	78.34754
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Thu Jul 31 11:24:39 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			10011.02408	100.05511	56.79445
MLPerceptron			9645.64951	98.21227	61.85465
RBF			18051.87623	134.35727	93.47296
RandomSubSpaces			10842.28886	104.12631	66.05143
BagClassify			10147.66373	100.73561	60.77845
LeastSquares			13367.06794	115.61604	63.17539
LinearRegression			14968.94127	122.34762	78.88892
IsoRegression			15919.05746	126.17075	82.04694
Discretization			13132.81408	114.59849	71.81150
