# Created: Thu Jul 31 11:24:33 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.40
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.40.csv
#	metrics-output:	results/terasort/metrics-0.40.csv
#
# Points picked
# 	(2.0, 10.0, 8.0)
# 	(4.0, 30.0, 7.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 30.0, 3.0)
# 	(1.0, 40.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(2.0, 20.0, 10.0)
# 	(4.0, 10.0, 6.0)
# 	(4.0, 40.0, 4.0)
# 	(4.0, 40.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 20.0, 9.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 20.0, 6.0)
# 	(2.0, 10.0, 7.0)
# 	(2.0, 30.0, 8.0)
# 	(1.0, 10.0, 5.0)
# 	(2.0, 10.0, 4.0)
# 	(2.0, 40.0, 9.0)
# 	(1.0, 30.0, 4.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 40.0, 4.0)
# 	(2.0, 10.0, 2.0)
# 	(4.0, 10.0, 7.0)
# 	(1.0, 10.0, 9.0)
# 	(2.0, 30.0, 6.0)
# 	(2.0, 30.0, 2.0)
# 	(2.0, 40.0, 4.0)
# 	(1.0, 30.0, 3.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 2.0)
# 	(2.0, 30.0, 5.0)
# 	(2.0, 30.0, 4.0)
# 	(4.0, 10.0, 4.0)
# 	(4.0, 10.0, 10.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 20.0, 8.0)
# 	(1.0, 20.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 40.0, 10.0)
# 	(2.0, 40.0, 5.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 30.0, 2.0)
# 	(2.0, 30.0, 9.0)
# 	(4.0, 40.0, 2.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 40.0, 10.0)
# 	(1.0, 30.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	4.0	105.3100	196.3020	129.4800	197.8903	128.5330	164.5409	178.2211	225.4851	177.2538	156.8369	
1.0	20.0	4.0	172.0700	237.7908	285.9329	197.9124	208.7300	210.2778	210.4996	225.4851	177.2538	156.8369	
1.0	30.0	4.0	234.2300	277.0691	349.6816	197.8675	236.7630	210.2778	242.7780	225.4851	177.2538	156.8369	
1.0	40.0	4.0	308.7800	303.2034	365.6551	197.7347	252.1171	242.3191	275.0564	225.4851	177.2538	255.0774	
1.0	50.0	4.0	374.3800	310.3434	365.9637	197.4454	254.7380	241.0711	307.3348	225.4851	177.2538	255.0774	
2.0	10.0	4.0	72.5000	140.6973	71.7103	196.6177	100.9054	91.9749	142.3562	225.4851	177.2538	156.8369	
2.0	20.0	4.0	109.4900	176.8439	216.4236	196.6973	165.6362	151.9345	174.6346	225.4851	177.2538	156.8369	
2.0	30.0	4.0	147.8300	216.4854	272.9797	196.5361	173.8195	156.7010	206.9130	225.4851	177.2538	156.8369	
2.0	40.0	4.0	182.4400	248.6780	288.5931	196.0642	189.1736	164.9606	239.1914	225.4851	177.2538	186.1640	
2.0	50.0	4.0	226.1300	266.0356	291.2190	195.0630	197.3388	185.8170	271.4698	225.4851	177.2538	186.1640	
4.0	10.0	4.0	54.7500	99.8371	82.4934	154.3984	100.9054	91.9749	70.6263	225.4851	177.2538	154.7025	
4.0	20.0	4.0	75.8700	121.9884	198.4345	154.3985	165.6362	151.9345	102.9047	225.4851	177.2538	154.7025	
4.0	30.0	4.0	99.5400	153.9132	239.9121	154.3983	173.8195	156.7010	135.1831	225.4851	177.2538	154.7025	
4.0	40.0	4.0	135.6200	187.0766	251.9873	154.3978	189.1736	164.9606	167.4615	225.4851	177.2538	154.7025	
4.0	50.0	4.0	147.7500	213.1173	255.1644	154.3972	197.3388	185.8170	199.7400	225.4851	177.2538	154.7025	
1.0	10.0	5.0	168.1100	169.4051	96.7970	197.7967	128.5330	164.5409	160.0729	206.1978	177.2538	156.8369	
1.0	20.0	5.0	264.1000	205.9749	242.2734	197.8231	208.7300	210.2778	192.3513	206.1978	177.2538	156.8369	
1.0	30.0	5.0	199.1300	243.9727	298.8773	197.7694	236.7630	210.2778	224.6297	206.1978	177.2538	156.8369	
1.0	40.0	5.0	256.9800	272.9672	313.6689	197.6107	252.1171	242.3191	256.9081	206.1978	177.2538	255.0774	
