# Created: Thu Jul 31 11:24:27 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.30
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.30.csv
#	metrics-output:	results/terasort/metrics-0.30.csv
#
# Points picked
# 	(4.0, 10.0, 4.0)
# 	(1.0, 40.0, 10.0)
# 	(1.0, 40.0, 7.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 30.0, 10.0)
# 	(1.0, 10.0, 5.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 40.0, 3.0)
# 	(2.0, 10.0, 8.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 20.0, 8.0)
# 	(4.0, 50.0, 6.0)
# 	(4.0, 30.0, 2.0)
# 	(2.0, 30.0, 2.0)
# 	(1.0, 40.0, 5.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 10.0, 10.0)
# 	(1.0, 20.0, 7.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 40.0, 4.0)
# 	(4.0, 30.0, 9.0)
# 	(4.0, 20.0, 2.0)
# 	(4.0, 30.0, 8.0)
# 	(2.0, 10.0, 3.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 10.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 40.0, 6.0)
# 	(1.0, 20.0, 2.0)
# 	(4.0, 50.0, 10.0)
# 	(1.0, 10.0, 3.0)
# 	(1.0, 10.0, 7.0)
# 	(1.0, 10.0, 9.0)
# 	(2.0, 20.0, 6.0)
# 	(1.0, 50.0, 5.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 20.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
2.0	10.0	4.0	72.5000	118.5600	104.2015	212.7831	137.4088	130.6515	109.3269	87.2622	85.5660	99.5289	
2.0	20.0	4.0	109.4900	154.8220	164.2305	211.5024	171.2955	148.7098	148.8905	135.0554	164.4669	99.5289	
2.0	30.0	4.0	147.8300	203.9344	207.6124	210.9385	180.1559	166.9195	188.4540	182.8486	164.4669	99.5289	
2.0	40.0	4.0	182.4400	252.9449	238.3624	211.2373	190.5957	203.8582	228.0175	230.6418	206.5578	190.9557	
2.0	50.0	4.0	226.1300	288.2023	264.4373	212.3213	206.3921	242.4855	267.5811	278.4350	301.6750	190.9557	
4.0	10.0	4.0	54.7500	92.1218	55.4476	132.7979	132.3995	130.6515	49.7386	87.2622	85.5660	99.5289	
4.0	20.0	4.0	75.8700	110.7092	119.6730	132.7978	158.4244	148.7098	89.3021	135.0554	164.4669	99.5289	
4.0	30.0	4.0	99.5400	139.0111	168.7078	132.7978	167.2848	166.9195	128.8656	182.8486	164.4669	99.5289	
4.0	40.0	4.0	135.6200	168.7727	198.9183	132.7978	190.5957	203.8582	168.4291	230.6418	206.5578	190.9557	
4.0	50.0	4.0	147.7500	192.2471	215.3457	132.7979	206.3921	220.2847	207.9927	278.4350	301.6750	190.9557	
1.0	10.0	5.0	168.1100	139.2708	138.9234	218.3357	171.1586	170.5265	126.3398	87.2622	85.5660	93.7855	
1.0	20.0	5.0	264.1000	177.1775	199.8868	218.0584	197.3786	188.5848	165.9033	135.0554	164.4669	154.9490	
1.0	30.0	5.0	199.1300	227.1827	247.8475	217.9340	206.2390	206.7945	205.4668	182.8486	164.4669	154.9490	
1.0	40.0	5.0	256.9800	276.3260	290.2266	218.0001	216.6788	235.6510	245.0304	230.6418	206.5578	211.9751	
1.0	50.0	5.0	306.4200	310.6399	335.9978	218.2365	253.2292	262.7128	284.5939	278.4350	301.6750	301.5900	
2.0	10.0	5.0	72.5300	102.3895	102.4548	211.2849	137.4088	130.6515	96.5456	87.2622	85.5660	99.5289	
2.0	20.0	5.0	101.6800	135.8899	159.6977	209.7621	171.2955	148.7098	136.1091	135.0554	164.4669	99.5289	
2.0	30.0	5.0	128.9900	183.3500	199.0506	209.0949	180.1559	166.9195	175.6726	182.8486	164.4669	99.5289	
2.0	40.0	5.0	158.8800	232.1236	224.2023	209.4482	190.5957	203.8582	215.2362	230.6418	206.5578	190.9557	
2.0	50.0	5.0	191.0900	268.6759	242.3239	210.7346	206.3921	230.9200	254.7997	278.4350	301.6750	190.9557	
4.0	10.0	5.0	51.2800	86.9122	57.6262	132.7978	132.3995	130.6515	36.9572	87.2622	85.5660	99.5289	
4.0	20.0	5.0	71.6400	105.6014	121.4674	132.7978	158.4244	148.7098	76.5207	135.0554	164.4669	99.5289	
4.0	30.0	5.0	101.8800	134.2065	169.7298	132.7978	167.2848	166.9195	116.0843	182.8486	164.4669	99.5289	
4.0	40.0	5.0	100.7400	164.2671	199.1838	132.7978	190.5957	203.8582	155.6478	230.6418	206.5578	190.9557	
4.0	50.0	5.0	124.5700	187.9912	214.9749	132.7978	206.3921	220.2847	195.2113	278.4350	301.6750	190.9557	
1.0	10.0	6.0	90.7600	123.0701	130.2543	217.9486	171.1586	149.5716	113.5584	87.2622	85.5660	93.7855	
1.0	20.0	6.0	134.4400	156.6653	184.8090	217.5959	197.3786	155.4355	153.1220	135.0554	164.4669	154.9490	
1.0	30.0	6.0	174.1600	203.2668	223.6370	217.4379	206.2390	173.6451	192.6855	182.8486	164.4669	154.9490	
1.0	40.0	6.0	247.1600	250.6911	253.3409	217.5218	216.6788	198.8368	232.2490	230.6418	206.5578	211.9751	
