# Created: Fri Aug 01 15:30:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
4.0	10.0	4.0	54.7500	128.6252	100.1304	157.0575	186.9400	233.3030	137.2514	120.3098	56.3891	0.7059	
4.0	20.0	4.0	75.8700	128.6252	109.3763	157.0575	186.9400	233.3332	137.2514	122.1168	81.5701	11.1346	
4.0	30.0	4.0	99.5400	128.6252	130.1967	157.0575	186.9400	233.3563	137.2514	140.8137	106.7511	29.5633	
4.0	40.0	4.0	135.6200	128.6252	156.5546	176.4348	186.9400	233.3739	137.2514	161.9140	131.9322	61.5369	
4.0	50.0	4.0	147.7500	128.6252	180.8121	176.4348	186.9400	233.3872	137.2514	161.9140	157.1132	114.2567	
1.0	10.0	5.0	100.1100	266.6473	168.2397	180.6162	164.6750	226.9616	305.1480	198.7899	158.0006	22.0585	
1.0	20.0	5.0	150.1000	266.6473	199.4755	180.6162	164.6750	227.8787	305.1480	198.7899	183.1816	51.8682	
1.0	30.0	5.0	199.1300	266.6473	239.7152	180.6162	164.6750	228.5897	305.1480	206.3931	208.3627	100.9515	
1.0	40.0	5.0	256.9800	266.6473	277.8651	206.8664	164.6750	229.1398	305.1480	241.9437	233.5437	171.4843	
1.0	50.0	5.0	306.4200	266.6473	302.2971	206.8664	164.6750	229.5625	305.1480	241.9437	258.7248	255.5838	
2.0	10.0	5.0	72.5300	220.6399	132.9123	180.6162	164.6750	228.9255	305.1480	161.8035	120.6089	8.8398	
2.0	20.0	5.0	101.6800	220.6399	155.6680	180.6162	164.6750	229.5790	305.1480	161.8035	145.7899	28.2417	
2.0	30.0	5.0	128.9900	220.6399	189.3536	180.6162	164.6750	230.0830	305.1480	169.4068	170.9710	62.3600	
