# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Thu Jul 31 11:24:13 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			15880.83233	126.01917	108.96116
MLPerceptron			47437.38346	217.80125	147.08940
RBF			30593.64253	174.91038	148.94402
RandomSubSpaces			28254.26138	168.09004	147.59630
BagClassify			20372.12198	142.73094	117.00077
LeastSquares			20834.51672	144.34167	116.68130
LinearRegression			28276.19373	168.15527	130.59425
IsoRegression			28568.11327	169.02104	120.18168
Discretization			32584.20590	180.51096	155.91407
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Thu Jul 31 11:24:13 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			19319.60203	138.99497	123.49698
MLPerceptron			13267.00417	115.18248	74.49461
RBF			26645.75313	163.23527	139.72927
RandomSubSpaces			26264.91932	162.06455	144.58577
BagClassify			27596.04797	166.12058	147.25931
LeastSquares			18152.35697	134.73068	107.96736
LinearRegression			25600.78389	160.00245	131.77842
IsoRegression			41192.53653	202.95945	163.61262
Discretization			56857.19730	238.44747	208.90235
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Thu Jul 31 11:24:14 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			15174.03521	123.18293	70.17115
MLPerceptron			11670.64195	108.03075	57.11325
RBF			15592.35583	124.86936	78.08103
RandomSubSpaces			17361.20429	131.76192	81.15311
BagClassify			18112.48278	134.58262	87.75801
LeastSquares			12069.39409	109.86079	68.21211
LinearRegression			15530.47641	124.62133	82.54401
IsoRegression			17353.98583	131.73453	90.99515
Discretization			17353.98583	131.73453	90.99515
