1	144p	50	38.39
1	144p	100	37.86
1	144p	150	37.89
1	144p	200	38.02
1	144p	250	37.63
1	144p	300	37.61
1	144p	350	37.62
1	144p	400	37.93
1	144p	450	37.59
1	144p	500	37.64
1	240p	50	19.83
1	240p	100	18.55
1	240p	150	18.60
1	240p	200	18.74
1	240p	250	18.49
1	240p	300	18.52
1	240p	350	18.46
1	240p	400	18.49
1	240p	450	18.49
1	240p	500	18.43
1	360p	50	10.07
1	360p	100	10.05
1	360p	150	10.23
1	360p	200	10.00
1	360p	250	10.02
1	360p	300	10.00
1	360p	350	10.00
1	360p	400	10.00
1	360p	450	10.00
1	360p	500	10.00
1	480p	50	5.51
1	480p	100	5.51
1	480p	150	5.50
1	480p	200	5.49
1	480p	250	5.49
1	480p	300	5.45
1	480p	350	5.45
1	480p	400	5.45
1	480p	450	5.45
1	480p	500	5.45
1	720p	50	2.76
1	720p	100	2.75
1	720p	150	2.76
1	720p	200	2.75
1	720p	250	2.75
1	720p	300	2.75
1	720p	350	2.75
1	720p	400	2.75
1	720p	450	2.75
1	720p	500	2.75
1	1080p	50	1.55
1	1080p	100	1.55
1	1080p	150	1.57
1	1080p	200	1.55
1	1080p	250	1.55
1	1080p	300	1.55
1	1080p	350	1.55
1	1080p	400	1.55
1	1080p	450	1.55
1	1080p	500	1.55
1	1440p	50	.45
1	1440p	100	.45
1	1440p	150	.45
1	1440p	200	.45
1	1440p	250	.45
1	1440p	300	.45
1	1440p	350	.45
1	1440p	400	.45
1	1440p	450	.45
1	1440p	500	.45
2	144p	50	67.36
2	144p	100	82.73
2	144p	150	72.51
2	144p	200	91.52
2	144p	250	78.55
2	144p	300	77.38
2	144p	350	75.78
2	144p	400	77.07
2	144p	450	76.23
2	144p	500	77.17
2	240p	50	39.65
2	240p	100	47.52
2	240p	150	43.03
2	240p	200	42.14
2	240p	250	37.78
2	240p	300	39.06
2	240p	350	37.60
2	240p	400	39.03
2	240p	450	39.50
2	240p	500	38.03
2	360p	50	20.67
2	360p	100	26.53
2	360p	150	23.93
2	360p	200	21.52
2	360p	250	21.36
2	360p	300	21.70
2	360p	350	20.63
2	360p	400	19.92
2	360p	450	20.43
2	360p	500	21.07
2	480p	50	12.31
2	480p	100	16.42
2	480p	150	12.42
2	480p	200	11.43
2	480p	250	11.64
2	480p	300	11.29
2	480p	350	11.38
2	480p	400	11.08
2	480p	450	11.54
2	480p	500	11.09
2	720p	50	6.12
2	720p	100	7.98
2	720p	150	7.64
2	720p	200	6.79
2	720p	250	5.76
2	720p	300	5.63
2	720p	350	5.95
2	720p	400	5.83
2	720p	450	5.65
2	720p	500	5.59
2	1080p	50	2.77
2	1080p	100	4.39
2	1080p	150	3.90
2	1080p	200	3.68
2	1080p	250	3.35
2	1080p	300	3.28
2	1080p	350	3.30
2	1080p	400	3.22
2	1080p	450	3.58
2	1080p	500	3.17
2	1440p	50	.61
2	1440p	100	.67
2	1440p	150	.65
2	1440p	200	.56
2	1440p	250	.55
2	1440p	300	.56
2	1440p	350	.55
2	1440p	400	.56
2	1440p	450	.60
2	1440p	500	.55
3	144p	50	60.58
3	144p	100	110.68
3	144p	150	121.84
3	144p	200	119.03
3	144p	250	109.92
3	144p	300	111.75
3	144p	350	113.51
3	144p	400	121.22
3	144p	450	112.11
3	144p	500	114.08
3	240p	50	29.83
3	240p	100	61.41
3	240p	150	59.46
3	240p	200	58.93
3	240p	250	52.70
3	240p	300	56.69
3	240p	350	59.75
3	240p	400	56.24
3	240p	450	56.99
3	240p	500	55.11
3	360p	50	31.70
3	360p	100	32.30
3	360p	150	30.58
3	360p	200	30.82
3	360p	250	29.98
3	360p	300	29.24
3	360p	350	30.20
3	360p	400	30.72
3	360p	450	30.03
3	360p	500	30.70
3	480p	50	9.40
3	480p	100	18.47
3	480p	150	17.77
3	480p	200	16.11
3	480p	250	16.24
3	480p	300	18.45
3	480p	350	16.95
3	480p	400	17.28
3	480p	450	18.63
3	480p	500	16.60
3	720p	50	4.81
3	720p	100	8.85
3	720p	150	8.08
3	720p	200	8.15
3	720p	250	8.30
3	720p	300	9.12
3	720p	350	8.27
3	720p	400	8.61
3	720p	450	8.61
3	720p	500	8.35
3	1080p	50	2.19
3	1080p	100	4.77
3	1080p	150	5.07
3	1080p	200	4.73
3	1080p	250	4.73
3	1080p	300	4.76
3	1080p	350	5.09
3	1080p	400	4.88
3	1080p	450	4.91
3	1080p	500	4.92
3	1440p	50	.56
3	1440p	100	.54
3	1440p	150	.57
3	1440p	200	.58
3	1440p	250	.58
3	1440p	300	.60
3	1440p	350	.58
3	1440p	400	.59
3	1440p	450	.58
3	1440p	500	.59
4	144p	50	57.91
4	144p	100	110.05
4	144p	150	127.73
4	144p	200	133.12
4	144p	250	140.76
4	144p	300	139.05
4	144p	350	149.55
4	144p	400	143.43
4	144p	450	146.27
4	144p	500	148.70
4	240p	50	31.18
4	240p	100	63.30
4	240p	150	66.80
4	240p	200	70.29
4	240p	250	71.20
4	240p	300	72.74
4	240p	350	72.49
4	240p	400	72.43
4	240p	450	73.77
4	240p	500	72.93
4	360p	50	16.79
