nodes	cores	mem	size	time
18	4	6144	20	120
18	4	6144	25	126
18	4	6144	30	153
18	4	6144	35	190
18	4	6144	40	197
18	4	6144	45	215
18	4	6144	50	234
18	4	4096	5	47
18	4	4096	10	76
18	4	4096	15	90
18	4	4096	20	131
18	4	4096	25	142
18	4	4096	30	154
18	4	4096	35	191
18	4	4096	40	213
18	4	4096	45	221
18	4	4096	50	260
18	4	2048	5	47
18	4	2048	10	100
18	4	2048	15	133
18	4	2048	20	163
18	4	2048	25	206
18	4	2048	30	251
18	4	2048	35	283
18	4	2048	40	323
18	4	2048	45	358
18	4	2048	50	404
18	2	8192	5	58
18	2	8192	10	61
18	2	8192	15	87
18	2	8192	20	93
18	2	8192	25	116
18	2	8192	30	124
18	2	8192	35	184
18	2	8192	40	183
18	2	8192	45	189
18	2	8192	50	225
18	2	6144	5	53
18	2	6144	10	63
18	2	6144	15	92
18	2	6144	20	119
18	2	6144	25	129
18	2	6144	30	144
18	2	6144	35	176
18	2	6144	40	198
18	2	6144	45	215
18	2	6144	50	237
18	2	4096	5	50
18	2	4096	10	76
18	2	4096	15	85
18	2	4096	20	108
18	2	4096	25	134
18	2	4096	30	151
18	2	4096	35	197
18	2	4096	40	215
18	2	4096	45	237
18	2	4096	50	261
18	2	2048	5	54
18	2	2048	10	98
18	2	2048	15	134
18	2	2048	20	173
18	2	2048	25	216
18	2	2048	30	249
18	2	2048	35	302
18	2	2048	40	325
18	2	2048	45	358
18	2	2048	50	394
16	8	8192	5	63
16	8	8192	10	70
16	8	8192	15	67
16	8	8192	20	98
16	8	8192	25	121
16	8	8192	30	136
16	8	8192	35	174
16	8	8192	40	181
16	8	8192	45	214
16	8	8192	50	233
16	8	6144	5	52
16	8	6144	10	64
16	8	6144	15	91
16	8	6144	20	126
16	8	6144	25	131
16	8	6144	30	150
16	8	6144	35	186
16	8	6144	40	207
16	8	6144	45	209
16	8	6144	50	256
16	8	4096	5	47
16	8	4096	10	80
16	8	4096	15	87
16	8	4096	20	130
16	8	4096	25	147
16	8	4096	30	178
16	8	4096	35	205
16	8	4096	40	225
16	8	4096	45	243
16	8	4096	50	290
16	8	2048	5	50
16	8	2048	10	108
16	8	2048	15	138
16	8	2048	20	195
16	8	2048	25	238
16	8	2048	30	290
16	8	2048	35	337
16	8	2048	40	367
16	8	2048	45	412
16	8	2048	50	464
16	6	8192	5	62
16	6	8192	10	66
16	6	8192	15	73
16	6	8192	20	103
16	6	8192	25	119
16	6	8192	30	146
16	6	8192	35	171
16	6	8192	40	179
16	6	8192	45	210
16	6	8192	50	233
16	6	6144	5	53
16	6	6144	10	73
16	6	6144	15	84
16	6	6144	20	113
16	6	6144	25	121
16	6	6144	30	147
16	6	6144	35	173
16	6	6144	40	184
16	6	6144	45	199
16	6	6144	50	239
16	6	4096	5	51
16	6	4096	10	83
16	6	4096	15	92
16	6	4096	20	129
16	6	4096	25	148
16	6	4096	30	173
16	6	4096	35	213
16	6	4096	40	225
16	6	4096	45	237
16	6	4096	50	274
16	6	2048	5	49
16	6	2048	10	105
16	6	2048	15	144
16	6	2048	20	190
16	6	2048	25	228
16	6	2048	30	292
16	6	2048	35	334
16	6	2048	40	373
16	6	2048	45	414
16	6	2048	50	462
