nodes	cores	mem	size	class	time
20	4	6144	1500000	50	168
20	4	6144	1500000	100	182
20	4	6144	1500000	150	173
20	4	6144	1500000	200	170
20	4	6144	2000000	50	214
20	4	6144	2000000	100	209
20	4	6144	2000000	150	207
20	4	6144	2000000	200	214
20	4	6144	2500000	50	231
20	4	6144	2500000	100	229
20	4	6144	2500000	150	229
20	4	6144	2500000	200	225
20	4	4096	500000	50	101
20	4	4096	500000	100	95
20	4	4096	500000	150	95
20	4	4096	500000	200	95
20	4	4096	1000000	50	122
20	4	4096	1000000	100	129
20	4	4096	1000000	150	126
20	4	4096	1000000	200	131
20	4	4096	1500000	50	159
20	4	4096	1500000	100	158
20	4	4096	1500000	150	153
20	4	4096	1500000	200	149
20	4	4096	2000000	50	188
20	4	4096	2000000	100	198
20	4	4096	2000000	150	176
20	4	4096	2000000	200	188
20	4	4096	2500000	50	216
20	4	4096	2500000	100	221
20	4	4096	2500000	150	219
20	4	4096	2500000	200	223
20	4	2048	500000	50	109
20	4	2048	500000	100	107
20	4	2048	500000	150	109
20	4	2048	500000	200	102
20	4	2048	1000000	50	135
20	4	2048	1000000	100	136
20	4	2048	1000000	150	140
20	4	2048	1000000	200	141
20	4	2048	1500000	50	236
20	4	2048	1500000	100	226
20	4	2048	1500000	150	232
20	4	2048	1500000	200	276
20	4	2048	2000000	50	446
20	4	2048	2000000	100	439
20	4	2048	2000000	150	500
20	4	2048	2000000	200	457
20	4	2048	2500000	50	569
20	4	2048	2500000	100	550
20	4	2048	2500000	150	544
20	4	2048	2500000	200	552
20	2	8192	500000	50	142
20	2	8192	500000	100	127
20	2	8192	500000	150	125
20	2	8192	500000	200	123
20	2	8192	1000000	50	169
20	2	8192	1000000	100	161
20	2	8192	1000000	150	155
20	2	8192	1000000	200	145
20	2	8192	1500000	50	178
20	2	8192	1500000	100	172
20	2	8192	1500000	150	186
20	2	8192	1500000	200	182
20	2	8192	2000000	50	215
20	2	8192	2000000	100	224
20	2	8192	2000000	150	216
20	2	8192	2000000	200	213
20	2	8192	2500000	50	233
20	2	8192	2500000	100	231
20	2	8192	2500000	150	241
20	2	8192	2500000	200	246
20	2	6144	500000	50	116
20	2	6144	500000	100	125
20	2	6144	500000	150	119
20	2	6144	500000	200	113
20	2	6144	1000000	50	145
20	2	6144	1000000	100	149
20	2	6144	1000000	150	142
20	2	6144	1000000	200	145
20	2	6144	1500000	50	183
20	2	6144	1500000	100	172
20	2	6144	1500000	150	172
20	2	6144	1500000	200	174
20	2	6144	2000000	50	198
20	2	6144	2000000	100	206
20	2	6144	2000000	150	209
20	2	6144	2000000	200	205
20	2	6144	2500000	50	226
20	2	6144	2500000	100	226
20	2	6144	2500000	150	221
20	2	6144	2500000	200	258
20	2	4096	500000	50	128
20	2	4096	500000	100	111
20	2	4096	500000	150	125
20	2	4096	500000	200	104
20	2	4096	1000000	50	134
20	2	4096	1000000	100	132
20	2	4096	1000000	150	135
20	2	4096	1000000	200	131
20	2	4096	1500000	50	173
20	2	4096	1500000	100	158
20	2	4096	1500000	150	159
20	2	4096	1500000	200	166
20	2	4096	2000000	50	189
20	2	4096	2000000	100	197
20	2	4096	2000000	150	206
20	2	4096	2000000	200	178
20	2	4096	2500000	50	215
20	2	4096	2500000	100	229
20	2	4096	2500000	150	214
20	2	4096	2500000	200	213
20	2	2048	500000	50	105
20	2	2048	500000	100	96
20	2	2048	500000	150	107
20	2	2048	500000	200	98
20	2	2048	1000000	50	144
20	2	2048	1000000	100	139
20	2	2048	1000000	150	124
20	2	2048	1000000	200	133
20	2	2048	1500000	50	270
20	2	2048	1500000	100	235
20	2	2048	1500000	150	228
20	2	2048	1500000	200	241
20	2	2048	2000000	50	428
20	2	2048	2000000	100	456
20	2	2048	2000000	150	452
20	2	2048	2000000	200	461
20	2	2048	2500000	50	548
20	2	2048	2500000	100	527
20	2	2048	2500000	150	523
20	2	2048	2500000	200	545
16	8	8192	500000	50	117
16	8	8192	500000	100	106
16	8	8192	500000	150	95
16	8	8192	500000	200	103
16	8	8192	1000000	50	118
16	8	8192	1000000	100	122
16	8	8192	1000000	150	127
16	8	8192	1000000	200	117
16	8	8192	1500000	50	158
16	8	8192	1500000	100	157
16	8	8192	1500000	150	161
16	8	8192	1500000	200	172
16	8	8192	2000000	50	178
16	8	8192	2000000	100	193
16	8	8192	2000000	150	197
16	8	8192	2000000	200	190
16	8	8192	2500000	50	196
16	8	8192	2500000	100	206
16	8	8192	2500000	150	278
16	8	8192	2500000	200	197
16	8	6144	500000	50	103
16	8	6144	500000	100	104
16	8	6144	500000	150	85
16	8	6144	500000	200	91
16	8	6144	1000000	50	127
16	8	6144	1000000	100	132
16	8	6144	1000000	150	127
16	8	6144	1000000	200	138
16	8	6144	1500000	50	177
16	8	6144	1500000	100	359
16	8	6144	1500000	150	150
16	8	6144	1500000	200	147
16	8	6144	2000000	50	177
16	8	6144	2000000	100	181
16	8	6144	2000000	150	169
16	8	6144	2000000	200	165
16	8	6144	2500000	50	190
16	8	6144	2500000	100	190
16	8	6144	2500000	150	191
16	8	6144	2500000	200	198
16	8	4096	500000	50	90
16	8	4096	500000	100	96
16	8	4096	500000	150	83
16	8	4096	500000	200	90
16	8	4096	1000000	50	110
16	8	4096	1000000	100	117
16	8	4096	1000000	150	115
16	8	4096	1000000	200	115
16	8	4096	1500000	50	144
16	8	4096	1500000	100	139
16	8	4096	1500000	150	135
16	8	4096	1500000	200	141
16	8	4096	2000000	50	239
16	8	4096	2000000	100	240
16	8	4096	2000000	150	235
16	8	4096	2000000	200	240
16	8	4096	2500000	50	286
16	8	4096	2500000	100	267
16	8	4096	2500000	150	291
16	8	4096	2500000	200	285
16	8	2048	500000	50	96
16	8	2048	500000	100	98
16	8	2048	500000	150	104
16	8	2048	500000	200	98
16	8	2048	1000000	50	142
16	8	2048	1000000	100	138
16	8	2048	1000000	150	140
16	8	2048	1000000	200	165
16	8	2048	1500000	50	333
16	8	2048	1500000	100	321
16	8	2048	1500000	150	325
16	8	2048	1500000	200	316
16	8	2048	2000000	50	521
16	8	2048	2000000	100	534
16	8	2048	2000000	150	506
16	8	2048	2000000	200	524
16	8	2048	2500000	50	603
16	8	2048	2500000	100	581
16	8	2048	2500000	150	596
16	8	2048	2500000	200	598
16	6	8192	500000	50	106
16	6	8192	500000	100	90
16	6	8192	500000	150	90
16	6	8192	500000	200	92
16	6	8192	1000000	50	119
16	6	8192	1000000	100	124
16	6	8192	1000000	150	128
16	6	8192	1000000	200	136
16	6	8192	1500000	50	159
16	6	8192	1500000	100	148
16	6	8192	1500000	150	154
16	6	8192	1500000	200	146
16	6	8192	2000000	50	187
16	6	8192	2000000	100	179
16	6	8192	2000000	150	186
16	6	8192	2000000	200	187
16	6	8192	2500000	50	194
16	6	8192	2500000	100	194
16	6	8192	2500000	150	199
16	6	8192	2500000	200	195
16	6	6144	500000	50	94
16	6	6144	500000	100	95
16	6	6144	500000	150	87
16	6	6144	500000	200	96
16	6	6144	1000000	50	121
16	6	6144	1000000	100	124
16	6	6144	1000000	150	118
16	6	6144	1000000	200	131
16	6	6144	1500000	50	144
16	6	6144	1500000	100	147
16	6	6144	1500000	150	149
16	6	6144	1500000	200	152
16	6	6144	2000000	50	179
16	6	6144	2000000	100	178
16	6	6144	2000000	150	180
16	6	6144	2000000	200	176
16	6	6144	2500000	50	193
16	6	6144	2500000	100	185
16	6	6144	2500000	150	194
16	6	6144	2500000	200	207
16	6	4096	500000	50	87
16	6	4096	500000	100	88
16	6	4096	500000	150	95
16	6	4096	500000	200	90
16	6	4096	1000000	50	110
16	6	4096	1000000	100	120
16	6	4096	1000000	150	117
16	6	4096	1000000	200	121
16	6	4096	1500000	50	143
16	6	4096	1500000	100	141
16	6	4096	1500000	150	136
16	6	4096	1500000	200	143
16	6	4096	2000000	50	236
16	6	4096	2000000	100	232
16	6	4096	2000000	150	233
16	6	4096	2000000	200	245
16	6	4096	2500000	50	264
16	6	4096	2500000	100	252
16	6	4096	2500000	150	282
16	6	4096	2500000	200	278
16	6	2048	500000	50	99
16	6	2048	500000	100	104
16	6	2048	500000	150	101
16	6	2048	500000	200	101
16	6	2048	1000000	50	133
16	6	2048	1000000	100	136
16	6	2048	1000000	150	136
16	6	2048	1000000	200	148
