1	144p	50	114.57
1	144p	100	113.03
1	144p	150	113.07
1	144p	200	113.47
1	144p	250	112.30
1	144p	300	112.23
1	144p	350	112.28
1	144p	400	113.17
1	144p	450	112.19
1	144p	500	112.35
1	240p	50	120.41
1	240p	100	112.61
1	240p	150	112.91
1	240p	200	113.74
1	240p	250	112.30
1	240p	300	112.43
1	240p	350	112.18
1	240p	400	112.23
1	240p	450	112.21
1	240p	500	111.86
1	360p	50	113.23
1	360p	100	112.83
1	360p	150	114.77
1	360p	200	112.35
1	360p	250	112.47
1	360p	300	112.21
1	360p	350	112.20
1	360p	400	112.19
1	360p	450	112.20
1	360p	500	112.22
1	480p	50	112.78
1	480p	100	112.75
1	480p	150	112.54
1	480p	200	112.78
1	480p	250	112.68
1	480p	300	112.19
1	480p	350	112.19
1	480p	400	112.19
1	480p	450	112.20
1	480p	500	112.24
1	720p	50	112.49
1	720p	100	112.58
1	720p	150	112.96
1	720p	200	112.54
1	720p	250	112.22
1	720p	300	112.20
1	720p	350	112.17
1	720p	400	112.16
1	720p	450	112.16
1	720p	500	112.23
1	1080p	50	112.60
1	1080p	100	112.68
1	1080p	150	113.55
1	1080p	200	112.53
1	1080p	250	112.26
1	1080p	300	112.19
1	1080p	350	112.20
1	1080p	400	112.16
1	1080p	450	112.15
1	1080p	500	112.25
1	1440p	50	112.74
1	1440p	100	111.50
1	1440p	150	110.46
1	1440p	200	109.92
1	1440p	250	111.56
1	1440p	300	111.76
1	1440p	350	112.00
1	1440p	400	112.10
1	1440p	450	112.15
1	1440p	500	112.26
2	144p	50	201.06
2	144p	100	246.96
2	144p	150	216.39
2	144p	200	273.16
2	144p	250	234.43
2	144p	300	230.94
2	144p	350	226.18
2	144p	400	230.01
2	144p	450	227.53
2	144p	500	230.31
2	240p	50	240.75
2	240p	100	288.53
2	240p	150	261.34
2	240p	200	255.92
2	240p	250	229.41
2	240p	300	237.18
2	240p	350	228.41
2	240p	400	236.98
2	240p	450	239.83
2	240p	500	230.99
2	360p	50	232.05
2	360p	100	297.89
2	360p	150	268.70
2	360p	200	241.66
2	360p	250	239.83
2	360p	300	243.75
2	360p	350	231.60
2	360p	400	223.72
2	360p	450	229.35
2	360p	500	236.49
2	480p	50	252.20
2	480p	100	336.63
2	480p	150	254.89
2	480p	200	234.36
2	480p	250	238.92
2	480p	300	231.42
2	480p	350	233.32
2	480p	400	227.02
2	480p	450	236.62
2	480p	500	227.49
2	720p	50	249.92
2	720p	100	326.38
2	720p	150	312.87
2	720p	200	278.13
2	720p	250	235.72
2	720p	300	230.61
2	720p	350	243.46
2	720p	400	238.28
2	720p	450	231.38
2	720p	500	228.59
2	1080p	50	201.15
2	1080p	100	318.76
2	1080p	150	282.16
2	1080p	200	266.63
2	1080p	250	243.58
2	1080p	300	238.31
2	1080p	350	239.44
2	1080p	400	232.84
2	1080p	450	258.59
2	1080p	500	229.25
2	1440p	50	147.92
2	1440p	100	163.06
2	1440p	150	155.33
2	1440p	200	136.18
2	1440p	250	135.47
2	1440p	300	137.08
2	1440p	350	137.08
2	1440p	400	139.28
2	1440p	450	144.33
2	1440p	500	137.21
3	144p	50	180.81
3	144p	100	330.33
3	144p	150	363.66
3	144p	200	355.25
3	144p	250	328.08
3	144p	300	333.49
3	144p	350	338.74
3	144p	400	361.77
3	144p	450	334.58
3	144p	500	340.50
3	240p	50	181.11
3	240p	100	372.94
3	240p	150	361.11
3	240p	200	357.88
3	240p	250	320.04
3	240p	300	344.23
3	240p	350	362.84
3	240p	400	341.63
3	240p	450	346.09
3	240p	500	334.61
3	360p	50	355.96
3	360p	100	362.70
3	360p	150	343.41
3	360p	200	345.92
3	360p	250	336.54
3	360p	300	328.31
3	360p	350	339.09
3	360p	400	344.93
3	360p	450	337.19
3	360p	500	344.77
3	480p	50	192.64
3	480p	100	378.86
3	480p	150	364.39
3	480p	200	330.43
3	480p	250	332.83
3	480p	300	378.16
3	480p	350	347.52
3	480p	400	353.98
3	480p	450	381.97
3	480p	500	340.49
3	720p	50	196.60
3	720p	100	361.68
3	720p	150	330.64
3	720p	200	333.91
3	720p	250	339.73
3	720p	300	373.11
3	720p	350	339.03
3	720p	400	352.66
3	720p	450	352.34
3	720p	500	341.74
3	1080p	50	157.66
3	1080p	100	344.65
3	1080p	150	366.84
3	1080p	200	342.07
3	1080p	250	342.45
3	1080p	300	344.48
3	1080p	350	367.80
3	1080p	400	352.66
3	1080p	450	356.00
3	1080p	500	356.75
3	1440p	50	132.89
3	1440p	100	132.73
3	1440p	150	136.71
3	1440p	200	140.42
3	1440p	250	138.64
3	1440p	300	144.18
3	1440p	350	140.80
3	1440p	400	140.03
3	1440p	450	138.66
3	1440p	500	139.54
4	144p	50	172.85
4	144p	100	328.48
4	144p	150	381.22
4	144p	200	397.31
4	144p	250	420.12
4	144p	300	415.01
4	144p	350	446.35
4	144p	400	428.06
4	144p	450	436.54
4	144p	500	443.82
4	240p	50	189.31
4	240p	100	384.42
4	240p	150	405.67
4	240p	200	426.79
4	240p	250	432.45
4	240p	300	441.65
4	240p	350	440.21
4	240p	400	439.82
4	240p	450	447.96
4	240p	500	442.86
4	360p	50	188.66
4	360p	100	401.94
4	360p	150	401.68
4	360p	200	437.57
4	360p	250	297.63
4	360p	300	430.24
4	360p	350	445.22
4	360p	400	447.62
4	360p	450	448.02
4	360p	500	447.47
4	480p	50	199.43
4	480p	100	330.02
4	480p	150	414.07
4	480p	200	431.36
4	480p	250	427.54
4	480p	300	443.61
4	480p	350	436.15
4	480p	400	443.80
4	480p	450	437.55
4	480p	500	452.42
4	720p	50	181.77
4	720p	100	393.46
4	720p	150	418.59
4	720p	200	421.50
4	720p	250	444.37
4	720p	300	441.08
4	720p	350	426.89
4	720p	400	440.65
4	720p	450	444.11
4	720p	500	440.42
4	1080p	50	153.85
4	1080p	100	214.13
4	1080p	150	413.05
4	1080p	200	401.44
4	1080p	250	432.31
4	1080p	300	437.66
4	1080p	350	434.38
4	1080p	400	442.75
4	1080p	450	433.62
4	1080p	500	449.66
4	1440p	50	137.39
4	1440p	100	143.40
4	1440p	150	132.49
4	1440p	200	131.97
4	1440p	250	133.85
4	1440p	300	136.16
4	1440p	350	144.12
4	1440p	400	138.26
4	1440p	450	143.31
4	1440p	500	141.18
5	144p	50	174.40
5	144p	100	331.61
5	144p	150	396.96
5	144p	200	390.81
5	144p	250	397.75
5	144p	300	419.63
5	144p	350	427.61
5	144p	400	364.03
5	144p	450	446.16
5	144p	500	439.07
5	240p	50	185.97
5	240p	100	369.63
5	240p	150	411.18
5	240p	200	403.27
5	240p	250	427.30
5	240p	300	445.62
5	240p	350	449.82
5	240p	400	451.59
5	240p	450	454.69
5	240p	500	439.21
5	360p	50	190.34
5	360p	100	382.00
5	360p	150	404.95
5	360p	200	441.29
5	360p	250	417.53
5	360p	300	445.65
5	360p	350	437.38
5	360p	400	410.54
5	360p	450	444.23
5	360p	500	449.97
5	480p	50	184.01
5	480p	100	402.12
5	480p	150	416.02
5	480p	200	445.61
5	480p	250	453.93
5	480p	300	439.69
5	480p	350	456.05
5	480p	400	456.76
5	480p	450	463.73
5	480p	500	435.06
5	720p	50	191.06
5	720p	100	369.32
5	720p	150	438.88
5	720p	200	430.66
5	720p	250	433.85
5	720p	300	445.89
5	720p	350	459.92
5	720p	400	461.24
5	720p	450	467.75
5	720p	500	331.70
5	1080p	50	163.95
5	1080p	100	257.09
5	1080p	150	434.57
5	1080p	200	445.70
5	1080p	250	443.09
5	1080p	300	451.23
5	1080p	350	448.74
5	1080p	400	468.22
5	1080p	450	478.91
5	1080p	500	480.59
5	1440p	50	140.73
5	1440p	100	148.69
5	1440p	150	138.07
5	1440p	200	144.57
5	1440p	250	139.65
5	1440p	300	140.33
5	1440p	350	150.15
5	1440p	400	150.23
5	1440p	450	148.12
5	1440p	500	149.36
6	144p	50	166.88
6	144p	100	369.49
6	144p	150	364.37
6	144p	200	422.51
6	144p	250	434.40
6	144p	300	437.85
6	144p	350	418.32
6	144p	400	394.43
6	144p	450	426.69
6	144p	500	453.19
6	240p	50	182.77
6	240p	100	354.30
6	240p	150	403.78
6	240p	200	416.43
6	240p	250	427.42
6	240p	300	450.81
6	240p	350	411.23
6	240p	400	463.32
6	240p	450	434.49
6	240p	500	448.07
6	360p	50	177.68
6	360p	100	366.34
6	360p	150	430.49
6	360p	200	429.17
6	360p	250	426.20
6	360p	300	440.10
6	360p	350	454.22
6	360p	400	456.84
6	360p	450	455.59
6	360p	500	426.34
6	480p	50	183.68
6	480p	100	371.51
6	480p	150	411.23
6	480p	200	431.18
6	480p	250	445.80
6	480p	300	439.04
6	480p	350	460.07
6	480p	400	454.51
6	480p	450	462.67
6	480p	500	462.79
6	720p	50	182.99
6	720p	100	393.41
6	720p	150	419.00
6	720p	200	428.68
6	720p	250	447.39
6	720p	300	448.62
6	720p	350	466.15
6	720p	400	328.64
6	720p	450	452.55
6	720p	500	499.49
6	1080p	50	177.02
6	1080p	100	257.92
6	1080p	150	391.50
6	1080p	200	435.01
6	1080p	250	440.90
6	1080p	300	446.20
6	1080p	350	401.29
6	1080p	400	453.96
6	1080p	450	458.26
6	1080p	500	400.92
6	1440p	50	142.88
6	1440p	100	143.71
6	1440p	150	148.72
6	1440p	200	139.93
6	1440p	250	143.36
6	1440p	300	143.73
6	1440p	350	146.53
6	1440p	400	147.11
6	1440p	450	152.10
6	1440p	500	155.55
7	144p	50	184.01
7	144p	100	353.23
7	144p	150	363.27
7	144p	200	406.86
7	144p	250	374.77
7	144p	300	426.11
7	144p	350	414.71
7	144p	400	420.15
7	144p	450	420.86
7	144p	500	466.99
7	240p	50	177.03
7	240p	100	361.04
7	240p	150	402.75
7	240p	200	414.10
7	240p	250	425.68
7	240p	300	446.42
7	240p	350	456.32
7	240p	400	450.53
7	240p	450	467.36
7	240p	500	461.36
7	360p	50	178.02
7	360p	100	380.84
7	360p	150	408.12
7	360p	200	443.53
7	360p	250	437.65
7	360p	300	441.40
7	360p	350	458.07
7	360p	400	450.40
7	360p	450	467.93
7	360p	500	454.43
7	480p	50	359.70
7	480p	100	378.05
7	480p	150	414.50
7	480p	200	439.96
7	480p	250	440.03
7	480p	300	459.65
7	480p	350	460.68
7	480p	400	453.97
7	480p	450	469.03
7	480p	500	452.14
7	720p	50	180.70
7	720p	100	383.34
7	720p	150	410.87
7	720p	200	427.98
7	720p	250	453.59
7	720p	300	459.38
7	720p	350	464.61
7	720p	400	450.94
7	720p	450	469.45
7	720p	500	474.70
7	1080p	50	167.61
7	1080p	100	236.34
7	1080p	150	406.29
7	1080p	200	439.08
7	1080p	250	439.35
7	1080p	300	460.09
7	1080p	350	468.51
7	1080p	400	465.61
7	1080p	450	475.21
7	1080p	500	243.51
7	1440p	50	125.38
7	1440p	100	158.94
7	1440p	150	149.68
7	1440p	200	147.85
7	1440p	250	149.15
7	1440p	300	151.39
7	1440p	350	144.47
7	1440p	400	143.51
7	1440p	450	151.04
7	1440p	500	145.78
8	144p	50	154.00
8	144p	100	308.81
8	144p	150	369.61
8	144p	200	422.13
8	144p	250	392.49
8	144p	300	405.74
8	144p	350	434.29
8	144p	400	427.71
8	144p	450	434.30
8	144p	500	428.21
8	240p	50	154.63
8	240p	100	318.11
8	240p	150	369.85
8	240p	200	426.12
8	240p	250	444.83
8	240p	300	438.00
8	240p	350	410.63
8	240p	400	428.47
8	240p	450	444.80
8	240p	500	438.73
8	360p	50	165.96
8	360p	100	345.77
8	360p	150	421.27
8	360p	200	423.51
8	360p	250	440.26
8	360p	300	406.26
8	360p	350	407.74
8	360p	400	441.74
8	360p	450	422.97
8	360p	500	447.38
8	480p	50	161.37
8	480p	100	329.35
8	480p	150	402.38
8	480p	200	427.73
8	480p	250	440.47
8	480p	300	435.37
8	480p	350	445.98
8	480p	400	442.33
8	480p	450	426.53
8	480p	500	410.91
8	720p	50	174.28
8	720p	100	323.17
8	720p	150	428.19
8	720p	200	440.21
8	720p	250	438.83
8	720p	300	420.18
8	720p	350	450.78
8	720p	400	444.68
8	720p	450	446.35
8	720p	500	437.36
8	1080p	50	173.98
8	1080p	100	216.42
8	1080p	150	305.23
8	1080p	200	420.02
8	1080p	250	441.38
8	1080p	300	449.43
8	1080p	350	425.20
8	1080p	400	442.94
8	1080p	450	408.77
8	1080p	500	431.91
8	1440p	50	142.42
8	1440p	100	138.95
8	1440p	150	138.09
8	1440p	200	134.43
8	1440p	250	139.56
8	1440p	300	135.09
8	1440p	350	138.27
8	1440p	400	137.41
8	1440p	450	138.26
8	1440p	500	137.11
9	144p	50	160.16
9	144p	100	287.57
9	144p	150	381.77
9	144p	200	401.22
9	144p	250	403.84
9	144p	300	403.07
9	144p	350	424.36
9	144p	400	409.63
9	144p	450	432.42
9	144p	500	428.73
9	240p	50	154.11
9	240p	100	321.55
9	240p	150	405.98
9	240p	200	425.74
9	240p	250	446.83
9	240p	300	449.01
9	240p	350	454.86
9	240p	400	452.55
9	240p	450	453.25
9	240p	500	462.23
9	360p	50	159.57
9	360p	100	393.72
9	360p	150	406.40
9	360p	200	432.76
9	360p	250	426.64
9	360p	300	448.65
9	360p	350	449.61
9	360p	400	444.75
9	360p	450	444.43
9	360p	500	458.97
9	480p	50	164.25
9	480p	100	343.64
9	480p	150	424.37
9	480p	200	430.61
9	480p	250	444.29
9	480p	300	456.21
9	480p	350	443.99
9	480p	400	444.16
9	480p	450	458.80
9	480p	500	328.34
9	720p	50	166.96
9	720p	100	332.90
9	720p	150	429.05
9	720p	200	423.84
9	720p	250	445.81
9	720p	300	450.51
9	720p	350	464.44
9	720p	400	467.62
9	720p	450	452.96
9	720p	500	469.39
9	1080p	50	158.30
9	1080p	100	220.53
9	1080p	150	343.56
9	1080p	200	444.65
9	1080p	250	441.24
9	1080p	300	460.34
9	1080p	350	473.06
9	1080p	400	469.45
9	1080p	450	468.60
9	1080p	500	474.38
9	1440p	50	130.27
9	1440p	100	147.12
9	1440p	150	147.07
9	1440p	200	139.29
9	1440p	250	141.25
9	1440p	300	138.00
9	1440p	350	140.82
9	1440p	400	140.29
9	1440p	450	145.87
9	1440p	500	147.02
10	144p	50	289.60
10	144p	100	381.42
10	144p	150	387.27
10	144p	200	398.69
10	144p	250	431.23
10	144p	300	422.58
10	144p	350	408.18
10	144p	400	461.68
10	144p	450	465.55
10	144p	500	400.93
10	240p	50	162.12
10	240p	100	316.96
10	240p	150	420.41
10	240p	200	427.47
10	240p	250	451.39
10	240p	300	455.70
10	240p	350	454.32
10	240p	400	463.28
10	240p	450	460.80
10	240p	500	478.00
10	360p	50	156.56
10	360p	100	330.46
10	360p	150	428.47
10	360p	200	447.39
10	360p	250	456.15
10	360p	300	459.08
10	360p	350	468.99
10	360p	400	481.08
10	360p	450	481.22
10	360p	500	444.02
10	480p	50	165.76
10	480p	100	310.80
10	480p	150	437.90
10	480p	200	447.62
10	480p	250	457.80
10	480p	300	456.74
10	480p	350	469.49
10	480p	400	470.44
10	480p	450	480.43
10	480p	500	476.31
10	720p	50	164.62
10	720p	100	319.18
10	720p	150	430.50
10	720p	200	452.80
10	720p	250	456.91
10	720p	300	458.48
10	720p	350	470.24
10	720p	400	486.35
10	720p	450	474.17
10	720p	500	474.41
10	1080p	50	202.33
10	1080p	100	293.03
10	1080p	150	390.22
10	1080p	200	397.99
10	1080p	250	443.03
10	1080p	300	459.79
10	1080p	350	457.06
10	1080p	400	469.86
10	1080p	450	471.88
10	1080p	500	480.16
10	1440p	50	128.90
10	1440p	100	154.32
10	1440p	150	140.27
10	1440p	200	145.93
10	1440p	250	143.34
10	1440p	300	142.00
10	1440p	350	145.76
10	1440p	400	146.48
10	1440p	450	143.86
10	1440p	500	144.50
