Teragen-10	87.39	9.28	2.48
Terasort-10	383.86	11.90	0.95
Teragen-20	116.04	6.29	0.42
Terasort-20	180.14	9.64	0.65
Teragen-30	82.05	6.25	0.39
Terasort-30	363.72	11.35	0.89
Teragen-40	177.17	7.04	0.50
Terasort-40	357.67	11.61	0.97
Teragen-50	162.01	7.52	0.55
Terasort-50	930.03	14.05	1.53
Fastgen-50-50	16.86	5.70	0.23
PageRank-50-50	92.98	6.23	0.41
Fastgen-60-50	17.13	5.42	0.31
PageRank-60-50	153.29	6.96	0.49
Fastgen-70-50	21.19	5.58	0.24
PageRank-70-50	131.58	6.54	0.44
Fastgen-80-50	22.15	5.50	0.32
PageRank-80-50	130.13	7.62	0.46
Fastgen-90-50	26.82	5.67	0.26
PageRank-90-50	128.63	6.78	0.46
Fastgen-100-50	16.27	5.88	0.26
PageRank-100-50	138.80	7.16	0.47
