Teragen-10	50.03	6.01	0.32
Terasort-10	249.84	9.42	0.76
Teragen-20	73.91	6.62	0.38
Terasort-20	326.85	9.77	0.87
Teragen-30	74.38	5.30	0.31
Terasort-30	531.41	10.88	1.02
Teragen-40	89.56	6.19	0.30
Terasort-40	652.35	11.53	1.13
Teragen-50	103.30	5.12	0.32
Terasort-50	780.62	11.99	1.21
Fastgen-50-50	15.22	4.13	0.23
PageRank-50-50	153.55	5.51	0.34
Fastgen-60-50	15.21	4.36	0.19
PageRank-60-50	176.63	6.09	0.38
Fastgen-70-50	15.39	4.64	0.20
PageRank-70-50	203.38	6.24	0.42
Fastgen-80-50	15.11	4.28	0.24
PageRank-80-50	224.25	6.11	0.39
Fastgen-90-50	15.22	4.64	0.17
PageRank-90-50	260.30	7.46	0.49
Fastgen-100-50	15.79	5.04	0.20
PageRank-100-50	275.85	6.77	0.51
