Teragen-10	101.06	7.49	0.48
Terasort-10	156.10	8.83	0.76
Teragen-20	127.18	6.06	0.43
Terasort-20	435.36	11.26	0.91
Teragen-30	92.40	6.14	0.45
Terasort-30	345.02	10.12	0.89
Teragen-40	108.95	6.14	0.42
Terasort-40	468.92	11.29	1.03
Teragen-50	149.08	6.26	0.38
Terasort-50	579.86	11.56	1.20
Fastgen-50-50	21.83	4.29	0.24
PageRank-50-50	84.03	5.59	0.37
Fastgen-60-50	16.15	5.50	0.24
PageRank-60-50	89.85	5.89	0.33
Fastgen-70-50	15.00	4.19	0.22
PageRank-70-50	116.70	6.27	0.41
Fastgen-80-50	16.13	5.16	0.28
PageRank-80-50	100.60	5.46	0.33
Fastgen-90-50	15.18	4.33	0.21
PageRank-90-50	113.41	6.22	0.30
Fastgen-100-50	15.59	4.88	0.20
PageRank-100-50	121.93	6.16	0.38
