# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:06:29 EEST 2014
Model			MSE	Average	Deviation
RBF			1412.37825	37.58162	27.96717
LinearRegression			1209.77382	34.78180	25.32534
MLPerceptron			510.19020	22.58739	13.88844
LeastSquares			923.22430	30.38461	18.78310
Discretization			381.77536	19.53907	12.51952
RandomSubSpaces			779.75492	27.92409	20.09952
IsoRegression			1032.38156	32.13070	23.46035
GaussianCurves			540.92915	23.25788	15.22819
BagClassify			514.75487	22.68821	15.79413
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:06:30 EEST 2014
Model			MSE	Average	Deviation
RBF			1396.35549	37.36784	27.81054
LinearRegression			1204.61468	34.70756	25.08097
MLPerceptron			530.70038	23.03694	14.35707
LeastSquares			988.73898	31.44422	19.19856
Discretization			514.70701	22.68716	14.69034
RandomSubSpaces			883.43415	29.72262	21.31447
IsoRegression			1001.41985	31.64522	22.34970
GaussianCurves			557.54710	23.61244	14.96453
BagClassify			578.22425	24.04629	16.14639
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:33 EEST 2014
Model			MSE	Average	Deviation
RBF			1399.22853	37.40626	27.52342
LinearRegression			1212.56380	34.82189	25.15490
MLPerceptron			553.65450	23.52986	13.66735
LeastSquares			993.11364	31.51371	19.19267
Discretization			592.22360	24.33564	14.46373
RandomSubSpaces			710.95130	26.66367	17.95747
IsoRegression			1008.89074	31.76304	22.57385
GaussianCurves			607.96006	24.65685	14.13381
BagClassify			596.37651	24.42082	14.98965
