# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:06:09 EEST 2014
Model			MSE	Average	Deviation
RBF			1629.37152	40.36547	32.05027
LinearRegression			1223.76278	34.98232	24.91815
MLPerceptron			574.53481	23.96946	14.10070
LeastSquares			934.16695	30.56414	19.72973
Discretization			675.72318	25.99468	17.14479
RandomSubSpaces			904.45048	30.07408	20.59392
IsoRegression			1018.55828	31.91486	22.01437
GaussianCurves			615.60745	24.81144	15.39793
BagClassify			625.10936	25.00219	15.88673
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:06:10 EEST 2014
Model			MSE	Average	Deviation
RBF			1578.99070	39.73652	29.48898
LinearRegression			1203.11853	34.68600	23.46818
MLPerceptron			626.02331	25.02046	15.86025
LeastSquares			1257.64762	35.46333	21.26088
Discretization			599.79839	24.49078	16.67930
RandomSubSpaces			894.58013	29.90953	20.68527
IsoRegression			999.73089	31.61852	22.09205
GaussianCurves			647.66564	25.44928	16.25311
BagClassify			676.09918	26.00191	17.37520
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:12 EEST 2014
Model			MSE	Average	Deviation
RBF			1675.26525	40.93000	31.79211
LinearRegression			1227.54741	35.03637	25.76207
MLPerceptron			679.51914	26.06759	19.89956
LeastSquares			1088.82493	32.99735	20.01471
Discretization			924.64893	30.40804	19.93094
RandomSubSpaces			1178.03220	34.32247	23.72165
IsoRegression			1096.58348	33.11470	24.46894
GaussianCurves			633.44310	25.16830	14.44736
BagClassify			750.56164	27.39638	19.51888
