# Created: Wed Jul 30 23:06:29 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.50
#	input:	pagerank.csv
#	output:	out-0.50.csv
#	metrics-output:	metrics-0.50.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(1.0, 60.0, 2.0)
# 	(4.0, 60.0, 2.0)
# 	(2.0, 70.0, 2.0)
# 	(1.0, 80.0, 2.0)
# 	(4.0, 80.0, 2.0)
# 	(2.0, 90.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 60.0, 3.0)
# 	(2.0, 70.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(4.0, 80.0, 3.0)
# 	(2.0, 90.0, 3.0)
# 	(1.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 50.0, 4.0)
# 	(1.0, 60.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(2.0, 70.0, 4.0)
# 	(1.0, 80.0, 4.0)
# 	(4.0, 80.0, 4.0)
# 	(2.0, 90.0, 4.0)
# 	(1.0, 100.0, 4.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 50.0, 5.0)
# 	(1.0, 60.0, 5.0)
# 	(4.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(1.0, 80.0, 5.0)
# 	(4.0, 80.0, 5.0)
# 	(2.0, 90.0, 5.0)
# 	(1.0, 100.0, 5.0)
# 	(4.0, 100.0, 5.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 60.0, 6.0)
# 	(4.0, 60.0, 6.0)
# 	(2.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(4.0, 80.0, 6.0)
# 	(2.0, 90.0, 6.0)
# 	(1.0, 100.0, 6.0)
# 	(4.0, 100.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 60.0, 7.0)
# 	(4.0, 60.0, 7.0)
# 	(2.0, 70.0, 7.0)
# 	(1.0, 80.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(2.0, 90.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 100.0, 7.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 60.0, 8.0)
# 	(4.0, 60.0, 8.0)
# 	(2.0, 70.0, 8.0)
# 	(1.0, 80.0, 8.0)
# 	(4.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(1.0, 100.0, 8.0)
# 	(4.0, 100.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(1.0, 60.0, 9.0)
# 	(4.0, 60.0, 9.0)
# 	(2.0, 70.0, 9.0)
# 	(1.0, 80.0, 9.0)
# 	(4.0, 80.0, 9.0)
# 	(2.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(1.0, 60.0, 10.0)
# 	(4.0, 60.0, 10.0)
# 	(2.0, 70.0, 10.0)
# 	(1.0, 80.0, 10.0)
# 	(4.0, 80.0, 10.0)
# 	(2.0, 90.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
2.0	80.0	3.0	115.1400	134.1750	130.3092	121.1975	137.3756	114.3717	105.3610	104.1526	138.6956	105.9809	
2.0	90.0	3.0	130.7800	133.6677	130.3092	134.7429	146.5345	125.0455	113.4012	104.1526	153.0759	111.9439	
2.0	100.0	3.0	126.7400	133.2188	130.3092	150.8200	155.6934	125.0455	117.6196	104.1526	165.0846	113.0805	
4.0	50.0	3.0	88.1700	101.2121	93.9022	80.8714	70.1723	92.9467	102.8897	102.6211	88.2375	92.8688	
4.0	60.0	3.0	87.1600	101.2118	93.9022	81.3723	79.3312	92.9467	104.6786	102.6211	85.5455	92.8688	
4.0	70.0	3.0	100.1000	101.2116	93.9022	82.0305	88.4901	92.9467	103.9034	102.6211	86.6027	97.1827	
4.0	80.0	3.0	101.9300	101.2115	93.9022	82.9010	97.6490	92.9467	102.6115	102.6211	91.7815	97.1827	
4.0	90.0	3.0	115.8700	101.2114	93.9022	84.0571	106.8079	120.0368	111.9437	102.6211	100.3669	105.3329	
4.0	100.0	3.0	122.7800	101.2113	93.9022	85.5962	115.9667	120.0368	116.1621	102.6211	110.6695	110.5293	
1.0	50.0	4.0	136.5900	137.1648	148.5126	132.7638	125.9939	158.6189	141.0850	165.9504	129.3087	153.2723	
1.0	60.0	4.0	151.4200	137.0547	148.5126	148.5752	135.1528	158.6189	141.0850	165.9504	141.6576	153.2723	
1.0	70.0	4.0	182.1800	136.9339	148.5126	166.7552	144.3117	158.6189	158.4696	165.9504	156.9956	182.9993	
1.0	80.0	4.0	201.1600	136.8085	148.5126	186.8307	153.4706	173.3007	158.4696	165.9504	173.2327	182.9993	
1.0	90.0	4.0	210.9400	136.6861	148.5126	208.0332	162.6294	173.3007	178.1950	165.9504	187.5456	194.1643	
1.0	100.0	4.0	212.2000	136.5752	148.5126	229.3982	171.7883	198.9429	182.4134	165.9504	197.1359	194.1643	
2.0	50.0	4.0	87.2400	135.7239	130.3092	90.0086	106.1306	96.0987	101.8143	104.1526	101.2039	97.7454	
2.0	60.0	4.0	92.2600	135.2332	130.3092	95.5575	115.2895	96.0987	104.7560	104.1526	107.1752	99.0662	
2.0	70.0	4.0	98.0500	134.7076	130.3092	102.7492	124.4484	96.0987	105.2726	104.1526	117.5478	105.9809	
2.0	80.0	4.0	106.8900	134.1750	130.3092	111.9210	133.6072	96.0987	105.3610	104.1526	131.2067	105.9809	
2.0	90.0	4.0	116.4300	133.6677	130.3092	123.3807	142.7661	125.0455	113.4012	104.1526	145.8932	111.9439	
2.0	100.0	4.0	122.1400	133.2188	130.3092	137.3367	151.9250	125.0455	117.6196	104.1526	158.7623	113.0805	
4.0	50.0	4.0	66.9600	101.2121	93.9022	82.2244	66.4040	79.6582	102.8897	102.6211	88.3199	91.2003	
4.0	60.0	4.0	83.3200	101.2118	93.9022	82.6391	75.5628	79.6582	104.6786	102.6211	85.0588	91.2003	
4.0	70.0	4.0	74.3100	101.2116	93.9022	83.1759	84.7217	79.6582	103.9034	102.6211	85.5390	95.5143	
4.0	80.0	4.0	83.1300	101.2115	93.9022	83.8780	93.8806	79.6582	102.6115	102.6211	90.2990	95.5143	
4.0	90.0	4.0	87.0900	101.2114	93.9022	84.8028	103.0395	97.3762	111.9437	102.6211	98.7442	103.6645	
4.0	100.0	4.0	95.7400	101.2113	93.9022	86.0274	112.1984	97.3762	116.1621	102.6211	109.2076	110.5293	
