# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:06:15 EEST 2014
Model			MSE	Average	Deviation
RBF			1523.43922	39.03126	30.06463
LinearRegression			1195.25130	34.57241	24.19048
MLPerceptron			637.25676	25.24394	17.30679
LeastSquares			982.30564	31.34176	18.99602
Discretization			580.13750	24.08604	15.32525
RandomSubSpaces			834.75857	28.89219	19.94353
IsoRegression			996.61496	31.56921	21.78221
GaussianCurves			606.52426	24.62771	15.64287
BagClassify			598.16020	24.45731	15.92071
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:06:17 EEST 2014
Model			MSE	Average	Deviation
RBF			1372.87774	37.05236	26.02691
LinearRegression			1204.60364	34.70740	24.16671
MLPerceptron			1002.95977	31.66954	24.79680
LeastSquares			1059.20623	32.54545	19.48847
Discretization			548.51828	23.42047	15.65998
RandomSubSpaces			673.66753	25.95511	17.15349
IsoRegression			1014.58214	31.85251	21.77748
GaussianCurves			572.52598	23.92752	15.15124
BagClassify			628.98167	25.07951	15.80809
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:19 EEST 2014
Model			MSE	Average	Deviation
RBF			1591.96158	39.89939	28.66788
LinearRegression			1219.39085	34.91978	25.51178
MLPerceptron			488.62541	22.10487	12.95053
LeastSquares			1050.28651	32.40812	19.66346
Discretization			818.18678	28.60396	18.07181
RandomSubSpaces			735.88986	27.12729	18.25841
IsoRegression			1042.29187	32.28455	23.49546
GaussianCurves			635.58604	25.21083	14.52007
BagClassify			668.24465	25.85043	17.59601
