# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:06:04 EEST 2014
Model			MSE	Average	Deviation
RBF			1430.40460	37.82069	29.99682
LinearRegression			1247.33322	35.31760	26.60515
MLPerceptron			1094.20364	33.07875	20.49624
LeastSquares			958.21145	30.95499	18.88058
Discretization			1207.24388	34.74542	21.08804
RandomSubSpaces			897.56965	29.95947	22.85107
IsoRegression			1056.54600	32.50455	24.37262
GaussianCurves			657.76705	25.64697	18.42170
BagClassify			622.99851	24.95994	18.28714
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:06:05 EEST 2014
Model			MSE	Average	Deviation
RBF			1383.34114	37.19329	26.74640
LinearRegression			1209.94087	34.78420	24.64483
MLPerceptron			1103.14970	33.21370	28.90416
LeastSquares			1078.71898	32.84386	20.90294
Discretization			707.65124	26.60172	18.71881
RandomSubSpaces			988.36075	31.43821	21.91296
IsoRegression			1024.14409	32.00225	22.54412
GaussianCurves			716.61602	26.76968	16.87071
BagClassify			776.03317	27.85737	18.93108
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:06 EEST 2014
Model			MSE	Average	Deviation
RBF			1385.03571	37.21607	28.10179
LinearRegression			1276.85394	35.73309	27.08058
MLPerceptron			732.23802	27.05990	17.80637
LeastSquares			1082.03772	32.89434	19.87299
Discretization			658.05593	25.65260	17.84107
RandomSubSpaces			873.16754	29.54941	21.98182
IsoRegression			1198.41123	34.61808	25.89123
GaussianCurves			628.17158	25.06335	14.60053
BagClassify			953.66046	30.88139	22.67536
