Terasort-10	348.26	9.78	0.80
Terasort-20	872.26	11.99	1.40
Terasort-30	Command exited with non-zero status 255
655.65	10.93	1.04
Terasort-40	Command exited with non-zero status 255
825.60	12.42	1.44
Terasort-50	1090.73	12.11	1.58
PageRank-50-50	164.20	6.34	0.43
PageRank-60-50	262.53	7.36	0.60
PageRank-70-50	117.60	5.56	0.39
PageRank-80-50	116.41	6.24	0.36
PageRank-90-50	109.44	6.09	0.38
PageRank-100-50	105.85	6.37	0.43
