SR	Adaptive	Uniform	Random
0.05	11670.64195	47437.38346	13267.00417
0.10	16688.15676	25051.59286	183833.86796
0.15	10559.50571	35923.39531	32684.44628
0.20	15763.79944	19052.43654	45524.61541
0.25	10423.33757	15728.62920	20624.57127
0.30	17765.72669	9442.38091	16469.04678
0.35	11320.41774	14311.83632	11955.85613
0.40	18492.42521	13350.54117	11472.16171
0.45	9645.64951	10398.10835	13792.96682
0.50	11821.66026	15782.36090	9170.88414
