SR	Adaptive	Uniform	Random
0.05	108.03075	217.80125	115.18248
0.10	129.18265	158.27695	428.75852
0.15	102.75946	189.53468	180.78840
0.20	125.55397	138.03056	213.36498
0.25	102.09475	125.41383	143.61257
0.30	133.28813	97.17191	128.33178
0.35	106.39745	119.63209	109.34284
0.40	135.98686	115.54454	107.10818
0.45	98.21227	101.97112	117.44346
0.50	108.72746	125.62787	95.76473
