# Created: Wed Jul 30 23:05:58 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.25
#	input:	pagerank.csv
#	output:	out-0.25.csv
#	metrics-output:	metrics-0.25.csv
#
# Points picked
# 	(4.0, 50.0, 2.0)
# 	(1.0, 70.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(4.0, 90.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 60.0, 3.0)
# 	(4.0, 70.0, 3.0)
# 	(1.0, 90.0, 3.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 50.0, 4.0)
# 	(1.0, 70.0, 4.0)
# 	(2.0, 80.0, 4.0)
# 	(4.0, 90.0, 4.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(4.0, 70.0, 5.0)
# 	(1.0, 90.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(2.0, 80.0, 6.0)
# 	(4.0, 90.0, 6.0)
# 	(1.0, 50.0, 7.0)
# 	(2.0, 60.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(1.0, 90.0, 7.0)
# 	(2.0, 100.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(1.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(4.0, 90.0, 8.0)
# 	(1.0, 50.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(4.0, 70.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(2.0, 100.0, 9.0)
# 	(4.0, 50.0, 10.0)
# 	(1.0, 70.0, 10.0)
# 	(2.0, 80.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
4.0	100.0	3.0	122.7800	126.8414	83.0035	113.7383	103.2107	109.1171	101.6292	86.7850	102.5716	106.3988	
1.0	50.0	4.0	136.5900	95.9726	139.6006	147.7987	123.0957	180.6144	141.6549	147.7454	128.4347	147.9086	
1.0	60.0	4.0	151.4200	98.6597	139.6006	164.0149	128.1203	180.6144	141.6549	147.7454	139.3882	155.0243	
1.0	70.0	4.0	182.1800	117.6088	139.6006	180.4140	133.1449	180.6144	141.6549	147.7454	149.6583	158.5419	
1.0	80.0	4.0	201.1600	126.4991	139.6006	195.9421	138.1694	180.6144	141.6549	147.7454	157.0328	161.1564	
1.0	90.0	4.0	210.9400	126.8361	139.6006	209.6715	143.1940	180.6144	141.6549	147.7454	159.9666	163.3793	
1.0	100.0	4.0	212.2000	126.8416	139.6006	221.0333	148.2185	180.6144	141.6549	147.7454	158.1059	160.8565	
2.0	50.0	4.0	87.2400	95.9031	120.7349	106.9181	107.2844	110.7504	101.7881	108.5177	106.1524	102.7264	
2.0	60.0	4.0	92.2600	97.8394	120.7349	114.2835	112.3090	110.7504	105.4912	108.5177	114.1138	103.6945	
2.0	70.0	4.0	98.0500	115.1265	120.7349	122.0158	117.3335	110.7504	105.4912	108.5177	122.6608	105.1735	
2.0	80.0	4.0	106.8900	126.3537	120.7349	130.0435	122.3581	110.7504	108.5825	108.5177	129.8885	105.1735	
2.0	90.0	4.0	116.4300	126.8338	120.7349	138.5625	127.3826	110.7504	104.6573	108.5177	134.3052	110.3680	
2.0	100.0	4.0	122.1400	126.8416	120.7349	147.9513	132.4072	130.7075	110.8965	108.5177	135.3298	110.2204	
4.0	50.0	4.0	66.9600	95.7848	83.0035	88.4688	75.6618	78.4946	92.5208	86.7850	81.8438	85.7861	
4.0	60.0	4.0	83.3200	96.3371	83.0035	92.5664	80.6863	78.4946	96.2239	86.7850	83.6191	90.6714	
