# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Fri Aug 01 15:38:59 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			756.07378	27.49680	19.94926	0.51605
LinearRegression			1089.08645	33.00131	26.62837	0.30289
MLPerceptron			124.53377	11.15947	8.74286	0.92029
LeastSquares			581.26773	24.10949	16.35597	0.62794
RBF			1617.45599	40.21761	33.32265	-0.03531
IsoRegression			920.11194	30.33335	23.47888	0.41105
BagClassify			522.87000	22.86635	18.57404	0.66532
RandomSubSpaces			1089.24055	33.00364	26.74962	0.30280
GaussianCurves			354.49067	18.82792	14.76233	0.77310
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Fri Aug 01 15:39:00 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			491.28487	22.16495	15.74795	0.68554
LinearRegression			885.40446	29.75575	19.65159	0.43327
MLPerceptron			216.77222	14.72319	11.46318	0.86125
LeastSquares			802.49613	28.32836	17.74908	0.48634
RBF			1145.12054	33.83963	22.55802	0.26703
IsoRegression			704.60241	26.54435	17.95027	0.54900
BagClassify			470.47443	21.69042	14.41251	0.69886
RandomSubSpaces			633.33899	25.16623	16.55928	0.59461
GaussianCurves			519.23088	22.78664	14.52484	0.66765
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Fri Aug 01 15:39:00 EEST 2014
Model	MSE	Average	Deviation	R
Discretization			645.39065	25.40454	16.95407	0.58690
LinearRegression			928.12815	30.46520	24.06885	0.40592
MLPerceptron			187.99778	13.71123	11.01278	0.87967
LeastSquares			853.43812	29.21366	22.20085	0.45373
RBF			1461.87061	38.23442	31.15404	0.06428
IsoRegression			855.36169	29.24657	21.55950	0.45250
BagClassify			593.69874	24.36593	19.31023	0.61998
RandomSubSpaces			497.00643	22.29364	17.51101	0.68187
GaussianCurves			278.30951	16.68261	12.32997	0.82186
